Date,Lat,Long,confirmed,cured,dead
2020/4/8,28.0339,1.6596,1572,237,205
2020/4/9,28.0339,1.6596,1666,347,235
2020/4/10,28.0339,1.6596,1761,405,256
2020/4/11,28.0339,1.6596,1825,460,275
2020/4/12,28.0339,1.6596,1914,591,293
2020/4/13,28.0339,1.6596,1983,601,313
2020/4/14,28.0339,1.6596,2070,691,326
2020/4/15,28.0339,1.6596,2160,708,336
2020/4/16,28.0339,1.6596,2268,783,348
2020/4/17,28.0339,1.6596,2418,846,364
2020/4/18,28.0339,1.6596,2534,894,367
2020/1/22,42.5063,1.5218,0,0,0
2020/1/23,42.5063,1.5218,0,0,0
2020/1/24,42.5063,1.5218,0,0,0
2020/1/25,42.5063,1.5218,0,0,0
2020/1/26,42.5063,1.5218,0,0,0
2020/1/27,42.5063,1.5218,0,0,0
2020/1/28,42.5063,1.5218,0,0,0
2020/1/29,42.5063,1.5218,0,0,0
2020/1/30,42.5063,1.5218,0,0,0
2020/1/31,42.5063,1.5218,0,0,0
2020/2/1,42.5063,1.5218,0,0,0
2020/2/2,42.5063,1.5218,0,0,0
2020/2/3,42.5063,1.5218,0,0,0
2020/2/4,42.5063,1.5218,0,0,0
2020/2/5,42.5063,1.5218,0,0,0
2020/2/6,42.5063,1.5218,0,0,0
2020/2/7,42.5063,1.5218,0,0,0
2020/2/8,42.5063,1.5218,0,0,0
2020/2/9,42.5063,1.5218,0,0,0
2020/2/10,42.5063,1.5218,0,0,0
2020/2/11,42.5063,1.5218,0,0,0
2020/2/12,42.5063,1.5218,0,0,0
2020/2/13,42.5063,1.5218,0,0,0
2020/2/14,42.5063,1.5218,0,0,0
2020/2/15,42.5063,1.5218,0,0,0
2020/2/16,42.5063,1.5218,0,0,0
2020/2/17,42.5063,1.5218,0,0,0
2020/2/18,42.5063,1.5218,0,0,0
2020/2/19,42.5063,1.5218,0,0,0
2020/2/20,42.5063,1.5218,0,0,0
2020/2/21,42.5063,1.5218,0,0,0
2020/2/22,42.5063,1.5218,0,0,0
2020/2/23,42.5063,1.5218,0,0,0
2020/2/24,42.5063,1.5218,0,0,0
2020/2/25,42.5063,1.5218,0,0,0
2020/2/26,42.5063,1.5218,0,0,0
2020/2/27,42.5063,1.5218,0,0,0
2020/2/28,42.5063,1.5218,0,0,0
2020/2/29,42.5063,1.5218,0,0,0
2020/3/1,42.5063,1.5218,0,0,0
2020/3/2,42.5063,1.5218,1,0,0
2020/3/3,42.5063,1.5218,1,0,0
2020/3/4,42.5063,1.5218,1,0,0
2020/3/5,42.5063,1.5218,1,0,0
2020/3/6,42.5063,1.5218,1,0,0
2020/3/7,42.5063,1.5218,1,0,0
2020/3/8,42.5063,1.5218,1,0,0
2020/3/9,42.5063,1.5218,1,0,0
2020/3/10,42.5063,1.5218,1,0,0
2020/3/11,42.5063,1.5218,1,0,0
2020/3/12,42.5063,1.5218,1,1,0
2020/3/13,42.5063,1.5218,1,0,0
2020/3/14,42.5063,1.5218,1,1,0
2020/3/15,42.5063,1.5218,1,1,0
2020/3/16,42.5063,1.5218,2,1,0
2020/3/17,42.5063,1.5218,39,1,0
2020/3/18,42.5063,1.5218,39,1,0
2020/3/19,42.5063,1.5218,53,1,0
2020/3/20,42.5063,1.5218,75,1,0
2020/3/21,42.5063,1.5218,88,1,0
2020/3/22,42.5063,1.5218,113,1,1
2020/3/23,42.5063,1.5218,133,1,1
2020/3/24,42.5063,1.5218,164,1,1
2020/3/25,42.5063,1.5218,188,1,1
2020/3/26,42.5063,1.5218,224,1,3
2020/3/27,42.5063,1.5218,267,1,3
2020/3/28,42.5063,1.5218,308,1,3
