date,confirmed,,dead,latitude,longitude
2020/1/23,6,0,0,31.86450005,117.2770004
2020/1/23,1,0,0,32.94129944,117.362999
2020/1/23,1,0,0,30.51230049,117.0350037
2020/1/23,1,0,0,32.31710052,118.3050003
2020/1/23,2,0,0,32.90319824,115.8099976
2020/1/23,2,0,0,31.75469971,116.4950028
2020/1/23,1,0,0,33.87939835,115.7710037
2020/1/23,1,0,0,30.660019,117.494477
2020/1/23,1,0,0,26.03650093,119.3180008
2020/1/23,1,0,0,24.45030022,118.086998
2020/1/23,1,0,0,24.90950012,118.5899963
2020/1/23,1,0,0,26.66110039,119.5179977
2020/1/23,2,0,0,28.67490005,115.8980026
2020/1/23,1,0,0,27.63139915,113.8389969
2020/1/23,1,0,0,29.72240067,115.9860001
2020/1/23,1,0,0,27.80410004,114.9319992
2020/1/23,1,0,0,27.10320091,114.9720001
2020/1/23,1,0,0,27.954545,116.360919
2020/1/23,3,0,0,36.0788002,120.3470001
2020/1/23,1,0,0,36.70289993,119.1070023
2020/1/23,2,0,0,37.50109863,122.1090012
2020/1/23,1,0,0,35.3932991,119.5469971
2020/1/23,2,0,0,35.07170105,118.3420029
2020/1/23,3,0,0,34.7582016,113.6419983
2020/1/23,2,0,0,34.76900101,112.9670029
2020/1/23,1,0,0,34.66550064,112.3830032
2020/1/23,1,0,0,34.7818985,111.1949997
2020/1/23,1,0,0,32.13119888,114.0699997
2020/1/23,1,0,0,33.62960052,114.6360016
2020/1/23,495,0,0,30.58510017,114.2750015
2020/1/23,1,0,0,32.65679932,110.7850037
2020/1/23,1,0,0,30.70429993,111.288002
2020/1/23,8,0,0,31.02879906,112.1989975
2020/1/23,22,0,0,30.92630005,113.9110031
2020/1/23,8,0,0,30.332591,112.241866
2020/1/23,12,0,0,30.446109,114.906618
2020/1/23,2,0,0,30.37179947,113.4530029
2020/1/23,8,0,0,28.19820023,112.9789963
2020/1/23,1,0,0,27.85250092,113.1500015
2020/1/23,1,0,0,27.87269974,112.9120026
2020/1/23,3,0,0,29.37129974,113.0979996
2020/1/23,1,0,0,25.80270004,113.026001
2020/1/23,4,0,0,26.21030045,111.612999
2020/1/23,3,0,0,27.54710007,109.9570007
2020/1/23,3,0,0,27.74180031,111.9929962
2020/1/23,7,0,0,23.1345005,113.2570038
2020/1/23,3,0,0,24.81010056,113.6039963
2020/1/23,15,2,0,22.55290031,114.1110001
2020/1/23,8,0,0,22.27249908,113.5719986
2020/1/23,6,0,0,23.0345993,113.1159973
2020/1/23,2,0,0,21.19470024,110.4029999
2020/1/23,1,0,0,23.05809975,112.4520035
2020/1/23,5,0,0,23.09020042,114.3899994
2020/1/23,3,0,0,21.84519958,111.9589996
2020/1/23,1,0,0,23.72060013,113.0230026
2020/1/23,2,0,0,22.52569962,113.3740006
2020/1/23,2,0,0,24.30990028,109.4049988
2020/1/23,2,0,0,25.28000069,110.2870026
2020/1/23,1,0,0,23.48679924,111.3089981
